GI: 0:226361633325, 1:+192, 2:+1, 3:+53, 4:+6, 5:+23
GI: 0:2870, 1:+72, 2:+0, 3:+102, 4:+6, 5:+30
GI: 0:1889, 1:+48, 2:+0, 3:+45, 4:+6, 5:+18125
GI: 0:19443, 1:+60, 2:+0, 3:+12, 4:+354, 5:+32
GI: 0:544, 1:+36, 2:+0, 3:+8, 4:+4307, 5:+66
GI: 0:4532, 1:+44, 2:+0, 3:+9, 4:+5, 5:+10956
GI: 0:12811, 1:+37, 2:+0, 3:+9, 4:+5, 5:+27
GI: 0:619, 1:+35, 2:+0, 3:+8, 4:+5, 5:+29
GI: 0:13594, 1:+68, 2:+161, 3:+21, 4:+15049, 5:+40
GI: 0:31979, 1:+94, 2:+2, 3:+2619, 4:+29, 5:+1417
GI: 0:4436, 1:+45, 2:+1, 3:+11, 4:+24, 5:+30
