GI: 0:225671194099, 1:+87, 2:+1, 3:+37, 4:+6, 5:+21
GI: 0:255, 1:+31, 2:+0, 3:+553, 4:+7, 5:+36
GI: 0:760, 1:+132, 2:+2, 3:+41, 4:+4, 5:+33
GI: 0:322, 1:+104, 2:+8142, 3:+26, 4:+6, 5:+36
GI: 0:15012, 1:+81, 2:+5654, 3:+24, 4:+6, 5:+44
GI: 0:11696, 1:+57, 2:+12919, 3:+33, 4:+30, 5:+14843
GI: 0:27965, 1:+44, 2:+1728, 3:+47, 4:+25, 5:+16303
GI: 0:18244, 1:+31, 2:+5531, 3:+33, 4:+30, 5:+29
GI: 0:7089, 1:+37, 2:+1, 3:+9, 4:+6, 5:+29
GI: 0:1853, 1:+106, 2:+5406, 3:+24, 4:+32, 5:+925
GI: 0:6593, 1:+39, 2:+10472, 3:+20, 4:+25, 5:+28
