GI: 0:227285976113, 1:+62, 2:+0, 3:+0, 4:+0, 5:+0
GI: 0:325, 1:+37, 2:+79, 3:+37, 4:+30767, 5:+31
GI: 0:31046, 1:+31, 2:+194, 3:+38, 4:+18950, 5:+32
GI: 0:20836, 1:+32, 2:+200, 3:+20, 4:+19701, 5:+28
GI: 0:26154, 1:+45, 2:+94, 3:+8, 4:+25699, 5:+41
GI: 0:26071, 1:+39, 2:+279, 3:+53, 4:+16285, 5:+24
GI: 0:23968, 1:+55, 2:+118, 3:+10, 4:+14296, 5:+24
GI: 0:17104, 1:+74, 2:+365, 3:+26, 4:+30047, 5:+23
GI: 0:30598, 1:+28, 2:+134, 3:+14, 4:+30649, 5:+47
GI: 0:31111, 1:+49, 2:+295, 3:+17, 4:+28998, 5:+30
GI: 0:29476, 1:+29, 2:+146, 3:+10, 4:+35017, 5:+25
