GI: 0:226419200312, 1:+146, 2:+40919, 3:+41, 4:+43, 5:+42
GI: 0:41321, 1:+30, 2:+0, 3:+77, 4:+8, 5:+98
GI: 0:286, 1:+26, 2:+102140, 3:+52, 4:+22, 5:+25
GI: 0:102520, 1:+36, 2:+103564, 3:+24, 4:+21, 5:+23
GI: 0:103728, 1:+25, 2:+101075, 3:+17, 4:+19, 5:+21
GI: 0:101215, 1:+23, 2:+106061, 3:+17, 4:+20, 5:+22
GI: 0:106297, 1:+28, 2:+107920, 3:+17, 4:+23, 5:+25
GI: 0:108136, 1:+33, 2:+99143, 3:+47, 4:+27, 5:+45
GI: 0:99451, 1:+32, 2:+105500, 3:+14, 4:+20, 5:+21
GI: 0:105645, 1:+24, 2:+104189, 3:+10, 4:+18, 5:+21
GI: 0:104322, 1:+25, 2:+105649, 3:+19, 4:+18, 5:+20
