GI: 0:225562883355, 1:+69, 2:+1, 3:+50, 4:+6, 5:+8481
GI: 0:32627, 1:+40, 2:+0, 3:+2034, 4:+18, 5:+51
GI: 0:2553, 1:+59, 2:+0, 3:+73, 4:+5, 5:+167
GI: 0:542, 1:+39, 2:+0, 3:+11, 4:+8, 5:+42
GI: 0:7515, 1:+51, 2:+0, 3:+20484, 4:+31, 5:+3626
GI: 0:25376, 1:+31, 2:+0, 3:+2671, 4:+13, 5:+36
GI: 0:43720, 1:+29, 2:+0, 3:+12, 4:+1815, 5:+76
GI: 0:4076, 1:+48, 2:+1, 3:+367, 4:+40, 5:+44
GI: 0:3575, 1:+35, 2:+0, 3:+12, 4:+6, 5:+862
GI: 0:14854, 1:+87, 2:+1, 3:+2950, 4:+14, 5:+35
GI: 0:24345, 1:+53, 2:+0, 3:+12907, 4:+55, 5:+11245
