GI: 0:226896575380, 1:+81, 2:+0, 3:+0, 4:+0, 5:+0
GI: 0:259, 1:+34, 2:+138, 3:+1110, 4:+22196, 5:+30
GI: 0:39858, 1:+65, 2:+2209, 3:+151, 4:+39785, 5:+36
GI: 0:42539, 1:+74, 2:+1061, 3:+33, 4:+25378, 5:+50
GI: 0:32350, 1:+124, 2:+1445, 3:+19, 4:+11391, 5:+30
GI: 0:13084, 1:+30, 2:+112, 3:+11, 4:+20270, 5:+38
GI: 0:20553, 1:+44, 2:+321, 3:+13, 4:+25218, 5:+31
GI: 0:26102, 1:+69, 2:+448, 3:+15, 4:+17786, 5:+41
GI: 0:18870, 1:+61, 2:+275, 3:+38, 4:+13397, 5:+31
GI: 0:19124, 1:+100, 2:+4174, 3:+28, 4:+9819, 5:+27
GI: 0:14227, 1:+42, 2:+243, 3:+9, 4:+19641, 5:+37
