GI: 0:227332464514, 1:+111, 2:+0, 3:+0, 4:+0, 5:+0
GI: 0:257, 1:+32, 2:+78095, 3:+36, 4:+51, 5:+163
GI: 0:78471, 1:+36, 2:+103712, 3:+22, 4:+67, 5:+27
GI: 0:104043, 1:+29, 2:+103157, 3:+7, 4:+74, 5:+25
GI: 0:103452, 1:+31, 2:+104437, 3:+8, 4:+59, 5:+25
GI: 0:104746, 1:+32, 2:+100537, 3:+9, 4:+53, 5:+28
GI: 0:100874, 1:+33, 2:+105398, 3:+7, 4:+64, 5:+24
GI: 0:105716, 1:+32, 2:+104364, 3:+7, 4:+61, 5:+22
GI: 0:104660, 1:+106, 2:+103259, 3:+10, 4:+73, 5:+21
GI: 0:103619, 1:+30, 2:+103778, 3:+7, 4:+58, 5:+20
GI: 0:104111, 1:+40, 2:+103526, 3:+7, 4:+51, 5:+23
