GI: 0:249407776410, 1:+36, 2:+73, 3:+47, 4:+16, 5:+100
GI: 0:520, 1:+24, 2:+97774, 3:+230, 4:+116, 5:+261
GI: 0:99376, 1:+43, 2:+94652, 3:+51, 4:+23, 5:+236
GI: 0:95271, 1:+48, 2:+81228, 3:+42, 4:+12, 5:+297
GI: 0:81821, 1:+30, 2:+100661, 3:+33, 4:+7, 5:+174
GI: 0:101142, 1:+47, 2:+103291, 3:+29, 4:+10, 5:+382
GI: 0:104520, 1:+38, 2:+102000, 3:+63, 4:+21, 5:+356
GI: 0:102709, 1:+38, 2:+50256, 3:+32, 4:+13, 5:+310
GI: 0:50811, 1:+26, 2:+97418, 3:+38, 4:+27, 5:+307
GI: 0:97981, 1:+40, 2:+99436, 3:+52, 4:+17, 5:+360
GI: 0:101016, 1:+46, 2:+102793, 3:+44, 4:+14, 5:+170
