GI: 0:228597669808, 1:+55, 2:+0, 3:+25, 4:+29, 5:+5860
GI: 0:10878, 1:+32, 2:+1, 3:+127, 4:+1417, 5:+77
GI: 0:56119, 1:+43, 2:+1, 3:+3351, 4:+817, 5:+451
GI: 0:7350, 1:+59, 2:+1, 3:+14, 4:+73, 5:+780
GI: 0:13378, 1:+49, 2:+1, 3:+15, 4:+5, 5:+38
GI: 0:16791, 1:+67, 2:+0, 3:+17852, 4:+40, 5:+41
GI: 0:21411, 1:+50, 2:+0, 3:+11, 4:+139, 5:+40
GI: 0:537, 1:+33, 2:+0, 3:+9, 4:+207, 5:+95
GI: 0:553, 1:+36, 2:+0, 3:+11, 4:+3682, 5:+44
GI: 0:16492, 1:+118, 2:+1, 3:+1102, 4:+37, 5:+97
GI: 0:1698, 1:+53, 2:+0, 3:+121, 4:+6, 5:+27
