GI: 0:226096598655, 1:+69, 2:+81539, 3:+31, 4:+36, 5:+18
GI: 0:81887, 1:+31, 2:+0, 3:+25, 4:+5, 5:+28
GI: 0:240, 1:+26, 2:+104628, 3:+28, 4:+23, 5:+22
GI: 0:105009, 1:+31, 2:+107281, 3:+17, 4:+21, 5:+25
GI: 0:107440, 1:+22, 2:+101143, 3:+14, 4:+18, 5:+20
GI: 0:101404, 1:+46, 2:+104876, 3:+14, 4:+23, 5:+23
GI: 0:105049, 1:+25, 2:+103237, 3:+17, 4:+22, 5:+22
GI: 0:103382, 1:+23, 2:+102936, 3:+14, 4:+18, 5:+20
GI: 0:103237, 1:+32, 2:+105345, 3:+14, 4:+24, 5:+20
GI: 0:105664, 1:+33, 2:+102619, 3:+27, 4:+37, 5:+33
GI: 0:102889, 1:+29, 2:+104439, 3:+34, 4:+35, 5:+36
