GI: 0:226835909046, 1:+92, 2:+0, 3:+0, 4:+0, 5:+0
GI: 0:237, 1:+28, 2:+702, 3:+105, 4:+24618, 5:+33
GI: 0:37163, 1:+57, 2:+1594, 3:+113, 4:+28241, 5:+53
GI: 0:30271, 1:+43, 2:+424, 3:+14, 4:+24560, 5:+29
GI: 0:30260, 1:+38, 2:+906, 3:+35, 4:+20572, 5:+21
GI: 0:28995, 1:+69, 2:+207, 3:+15, 4:+29353, 5:+43
GI: 0:29790, 1:+28, 2:+107, 3:+13, 4:+18635, 5:+31
GI: 0:20019, 1:+91, 2:+490, 3:+23, 4:+14024, 5:+32
GI: 0:17523, 1:+63, 2:+123, 3:+14, 4:+24897, 5:+42
GI: 0:30257, 1:+161, 2:+988, 3:+54, 4:+31749, 5:+45
GI: 0:33352, 1:+41, 2:+312, 3:+13, 4:+36882, 5:+51
