GI: 0:227206950582, 1:+147, 2:+0, 3:+0, 4:+0, 5:+0
GI: 0:245, 1:+27, 2:+419, 3:+56, 4:+23131, 5:+31
GI: 0:29010, 1:+79, 2:+575, 3:+44, 4:+22610, 5:+30
GI: 0:23785, 1:+58, 2:+312, 3:+14, 4:+31203, 5:+30
GI: 0:31935, 1:+35, 2:+219, 3:+16, 4:+38725, 5:+30
GI: 0:39110, 1:+30, 2:+226, 3:+13, 4:+22667, 5:+30
GI: 0:23624, 1:+58, 2:+998, 3:+19, 4:+19819, 5:+20
GI: 0:22756, 1:+54, 2:+71, 3:+8, 4:+30387, 5:+31
GI: 0:30639, 1:+33, 2:+200, 3:+9, 4:+28596, 5:+34
GI: 0:28978, 1:+36, 2:+67, 3:+9, 4:+31481, 5:+36
GI: 0:31771, 1:+49, 2:+76, 3:+8, 4:+33330, 5:+30
