GI: 0:246527717908, 1:+156, 2:+0, 3:+0, 4:+0, 5:+0
GI: 0:297, 1:+17, 2:+43145742, 3:+17, 4:+1002691, 5:+207
GI: 0:44148862, 1:+38, 2:+46145501, 3:+17, 4:+1002447, 5:+209
GI: 0:47148363, 1:+41, 2:+39125950, 3:+16, 4:+1002252, 5:+235
GI: 0:40128768, 1:+44, 2:+47175500, 3:+41, 4:+999674, 5:+228
GI: 0:48175824, 1:+61, 2:+48149904, 3:+17, 4:+1003119, 5:+221
GI: 0:49153512, 1:+35, 2:+48149831, 3:+17, 4:+1001903, 5:+239
GI: 0:49152211, 1:+37, 2:+23081609, 3:+19, 4:+1003584, 5:+214
GI: 0:24085666, 1:+45, 2:+46160013, 3:+31, 4:+1002781, 5:+383
GI: 0:47163540, 1:+29, 2:+46145744, 3:+36, 4:+1002002, 5:+220
GI: 0:47148225, 1:+33, 2:+48179373, 3:+44, 4:+1003542, 5:+833
