GI: 0:249447142929, 1:+31, 2:+8733, 3:+43, 4:+7, 5:+75
GI: 0:9034, 1:+24, 2:+515466, 3:+27, 4:+6, 5:+189
GI: 0:515851, 1:+24, 2:+566012, 3:+28, 4:+7, 5:+163
GI: 0:566372, 1:+22, 2:+475463, 3:+27, 4:+7, 5:+166
GI: 0:475824, 1:+23, 2:+568335, 3:+29, 4:+7, 5:+171
GI: 0:568705, 1:+29, 2:+591584, 3:+26, 4:+7, 5:+150
GI: 0:591941, 1:+26, 2:+575500, 3:+28, 4:+7, 5:+158
GI: 0:575858, 1:+26, 2:+276100, 3:+30, 4:+7, 5:+164
GI: 0:276469, 1:+26, 2:+570929, 3:+36, 4:+11, 5:+163
GI: 0:571370, 1:+45, 2:+554544, 3:+33, 4:+11, 5:+162
GI: 0:554973, 1:+24, 2:+573911, 3:+26, 4:+6, 5:+167
