GI: 0:247027247564, 1:+93, 2:+0, 3:+0, 4:+0, 5:+0
GI: 0:236, 1:+16, 2:+43301634, 3:+53, 4:+1002664, 5:+342
GI: 0:44305018, 1:+56, 2:+46198357, 3:+25, 4:+1003091, 5:+355
GI: 0:47202153, 1:+45, 2:+39174649, 3:+65, 4:+999668, 5:+366
GI: 0:40175140, 1:+53, 2:+47246325, 3:+42, 4:+1001330, 5:+408
GI: 0:48248496, 1:+51, 2:+48239490, 3:+38, 4:+999837, 5:+1195
GI: 0:49241280, 1:+123, 2:+48236077, 3:+30, 4:+1002282, 5:+590
GI: 0:49239799, 1:+89, 2:+23129439, 3:+16, 4:+1001860, 5:+370
GI: 0:24132112, 1:+45, 2:+46211614, 3:+35, 4:+999138, 5:+553
GI: 0:47211865, 1:+88, 2:+46365054, 3:+34, 4:+1004690, 5:+445
GI: 0:47370723, 1:+73, 2:+48419044, 3:+34, 4:+1007383, 5:+333
