GI: 0:286708889927, 1:+31, 2:+2, 3:+189, 4:+21, 5:+137
GI: 0:761, 1:+44, 2:+93996, 3:+30, 4:+7, 5:+301
GI: 0:94527, 1:+32, 2:+98767, 3:+27, 4:+6, 5:+260
GI: 0:99497, 1:+28, 2:+81779, 3:+30, 4:+9, 5:+177
GI: 0:82191, 1:+24, 2:+101083, 3:+40, 4:+21, 5:+169
GI: 0:101480, 1:+27, 2:+103122, 3:+34, 4:+11, 5:+270
GI: 0:103719, 1:+29, 2:+101909, 3:+35, 4:+10, 5:+399
GI: 0:102662, 1:+55, 2:+51872, 3:+65, 4:+28, 5:+246
GI: 0:52504, 1:+53, 2:+106155, 3:+37, 4:+39, 5:+340
GI: 0:106835, 1:+32, 2:+96049, 3:+47, 4:+111, 5:+306
GI: 0:97291, 1:+45, 2:+99920, 3:+16, 4:+7, 5:+148
