GI: 0:286284374880, 1:+190, 2:+0, 3:+0, 4:+0, 5:+0
GI: 0:503, 1:+31, 2:+119682, 3:+29, 4:+19, 5:+315
GI: 0:120351, 1:+35, 2:+128424, 3:+55, 4:+15, 5:+430
GI: 0:129322, 1:+43, 2:+76115, 3:+44, 4:+45, 5:+323
GI: 0:76825, 1:+56, 2:+121538, 3:+34, 4:+25, 5:+266
GI: 0:122170, 1:+109, 2:+108395, 3:+37, 4:+19, 5:+308
GI: 0:109382, 1:+42, 2:+115028, 3:+40, 4:+11, 5:+319
GI: 0:115681, 1:+49, 2:+57544, 3:+42, 4:+15, 5:+255
GI: 0:58192, 1:+37, 2:+106925, 3:+28, 4:+10, 5:+174
GI: 0:107330, 1:+28, 2:+107038, 3:+27, 4:+14, 5:+323
GI: 0:107682, 1:+39, 2:+108455, 3:+35, 4:+12, 5:+260
